generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,24,91.5647,21.3734,-18.8929,89.6336,103.8793,NaN,2.5000,0.113,113.05,65.36
81,36,135.7706,31.6921,-27.8929,132.9349,103.1831,101.7415,1.7500,0.182,69.04,67.92
102,48,181.4134,42.3461,-42.8929,176.2362,104.6769,105.4895,1.7500,0.250,67.45,66.35
123,60,225.5934,52.6588,-51.8929,219.5374,104.1017,104.2536,1.7500,0.317,67.01,65.95
144,72,271.2739,63.3217,-66.8929,262.8387,104.9461,105.4895,1.7500,0.382,65.84,64.76
165,84,315.4411,73.6314,-75.8929,306.1400,104.4970,104.7497,1.7500,0.451,68.41,67.29
186,96,360.6199,84.1772,-92.1071,348.5752,105.3034,105.7880,1.7500,0.521,70.53,69.42
207,108,405.2972,94.6059,-99.8929,392.7425,104.7171,104.9616,1.7500,0.594,72.70,71.61
228,120,450.4861,105.1540,-116.1071,435.1778,105.3405,105.7132,1.7500,0.668,74.03,72.89
249,132,495.1571,115.5813,-123.8929,479.3451,104.8573,105.0791,1.7500,0.746,77.89,76.78
270,144,540.3524,126.1310,-140.1071,521.7803,105.3653,105.6685,1.7500,0.828,81.80,80.65
291,156,585.0190,136.5572,-147.8929,565.9476,104.9544,105.1539,1.7500,0.916,87.82,86.63
312,168,630.2188,147.1079,-164.1071,608.3828,105.3830,105.6386,1.7500,1.013,97.25,96.08
333,180,674.8822,157.5334,-171.8929,652.5501,105.0257,105.2056,1.7500,1.098,84.89,83.73
354,192,720.0852,168.0848,-188.1071,694.9854,105.3963,105.6173,1.7500,1.182,83.85,82.64
374,204,763.8616,178.3033,-198.8929,737.4206,105.3312,105.5290,1.6667,1.263,81.67,80.47
396,216,809.9517,189.0618,-212.1071,781.5879,105.4067,105.6013,1.8333,1.348,84.34,83.12
416,228,853.7278,199.2802,-222.8929,824.0232,105.3479,105.5243,1.6667,1.434,86.78,85.62
438,240,899.8181,210.0387,-236.1071,868.1905,105.4150,105.5889,1.8333,1.518,83.88,82.70
458,252,943.5942,220.2571,-246.8929,910.6257,105.3614,105.5207,1.6667,1.599,80.54,79.44
479,264,987.7366,230.5609,-255.8929,953.9270,105.1994,105.5207,1.7500,1.681,82.34,81.18
500,276,1033.4605,241.2340,-270.8929,997.2283,105.3725,105.5207,1.7500,1.762,81.03,79.77
521,288,1077.6021,251.5377,-279.8929,1040.5295,105.2236,105.5207,1.7500,1.845,82.75,81.53
542,300,1123.3269,262.2109,-294.8929,1083.8308,105.3819,105.5207,1.7500,1.925,80.33,79.18
563,312,1167.4678,272.5144,-303.8929,1127.1321,105.2441,105.5207,1.7500,2.007,81.35,80.23
584,324,1212.6814,283.0684,-320.1071,1169.5673,105.4561,105.5207,1.7500,2.087,80.44,79.28
605,336,1257.3336,293.4912,-327.8929,1213.7346,105.2616,105.5207,1.7500,2.169,81.91,80.77
626,348,1302.5480,304.0453,-344.1071,1256.1698,105.4584,105.5207,1.7500,2.250,81.20,80.03
647,360,1347.1995,314.4680,-351.8929,1300.3371,105.2768,105.5207,1.7500,2.332,81.70,80.56
668,372,1392.4145,325.0223,-368.1071,1342.7724,105.4604,105.5207,1.7500,2.412,80.60,79.43
689,384,1437.0654,335.4449,-375.8929,1386.9397,105.2901,105.5207,1.7500,2.495,82.22,81.08
710,396,1482.2811,345.9993,-392.1071,1429.3749,105.4621,105.5207,1.7500,2.577,82.83,81.67
731,408,1526.9315,356.4217,-399.8929,1473.5422,105.3019,105.5207,1.7500,2.661,83.55,82.33
752,420,1572.1477,366.9762,-416.1071,1515.9775,105.4637,105.5207,1.7500,2.746,84.59,83.34
772,432,1615.9228,377.1944,-426.8929,1558.4127,105.4311,105.5207,1.6667,2.828,82.01,80.82
794,444,1662.0142,387.9532,-440.1071,1602.5800,105.4651,105.5207,1.8333,2.912,84.70,83.53
814,456,1705.7893,398.1713,-450.8929,1645.0153,105.4342,105.5207,1.6667,2.995,82.67,81.49
835,468,1749.9265,408.4740,-459.8929,1688.3165,105.3409,105.2626,1.7500,3.079,83.59,82.42
856,480,1795.6558,419.1483,-474.8929,1731.6178,105.4370,105.5207,1.7500,3.161,82.68,81.55
877,492,1839.7928,429.4509,-483.8929,1774.9191,105.3482,105.5207,1.7500,3.245,83.62,82.49
898,504,1885.5223,440.1253,-498.8929,1818.2203,105.4395,105.5207,1.7500,3.326,80.90,79.76
919,516,1929.6591,450.4278,-507.8929,1861.5216,105.3548,105.5207,1.7500,3.409,83.68,82.56
940,528,1974.8779,460.9830,-524.1071,1903.9569,105.4824,105.6150,1.7500,3.492,82.81,81.66
961,540,2019.5254,471.4047,-531.8929,1948.1241,105.3608,105.5207,1.7500,3.575,83.07,81.88
982,552,2064.7445,481.9599,-548.1071,1990.5594,105.4827,105.5207,1.7500,3.656,80.66,79.51
1003,564,2109.3917,492.3816,-555.8929,2034.7267,105.3663,105.5207,1.7500,3.738,82.01,80.90
1024,576,2154.6111,502.9369,-572.1071,2077.1619,105.4830,105.5207,1.7500,3.816,77.92,76.81
1045,588,2199.2581,513.3586,-579.8929,2121.3292,105.3713,105.5207,1.7500,3.896,80.07,78.96
1066,600,2244.4776,523.9139,-596.1071,2163.7645,105.4833,105.5207,1.7500,3.975,78.67,77.50
1087,612,2289.1245,534.3355,-603.8929,2207.9318,105.3759,105.5207,1.7500,4.055,79.87,78.74
1108,624,2334.3442,544.8908,-620.1071,2250.3670,105.4835,105.5207,1.7500,4.135,80.17,79.05
1128,636,2378.1189,555.1089,-630.8929,2292.8023,105.4610,105.7464,1.6667,4.214,78.87,77.75
1150,648,2424.2108,565.8678,-644.1071,2336.9696,105.4837,105.5207,1.8333,4.293,79.61,78.43
1170,660,2467.9855,576.0859,-654.8929,2379.4048,105.4620,105.5207,1.6667,4.372,78.54,77.44
1192,672,2514.0773,586.8448,-668.1071,2423.5721,105.4839,105.5207,1.8333,4.452,80.33,79.18
1212,684,2557.8520,597.0628,-678.8929,2466.0073,105.4630,105.5207,1.6667,4.531,78.85,77.76
1233,696,2601.9870,607.3650,-687.8929,2509.3086,105.3998,105.5207,1.7500,4.611,79.90,78.77
1254,708,2647.7186,618.0398,-702.8929,2552.6099,105.4639,105.5207,1.7500,4.689,78.23,77.08
1275,720,2691.8535,628.3419,-711.8929,2595.9111,105.4028,105.5207,1.7500,4.769,79.68,78.57
1296,732,2737.5851,639.0168,-726.8929,2639.2124,105.4647,105.5207,1.7500,4.847,78.72,77.57
