generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,40,122.4312,38.4494,70.6483,97.0043,53.8408,NaN,1.5000,0.118,117.54,84.44
81,52,154.5846,48.5472,97.1219,117.1194,50.3153,37.2282,1.7500,0.207,89.00,87.99
103,64,190.5477,59.8413,119.5388,145.2484,50.5290,44.6187,1.8333,0.297,90.04,88.98
124,76,223.6983,70.2523,138.4137,172.6261,51.2548,48.1362,1.7500,0.384,87.65,86.57
145,88,256.0824,80.4224,164.8873,192.7412,49.4514,45.4517,1.7500,0.475,91.17,90.14
168,100,291.5140,91.5497,183.5280,223.3484,50.5784,48.2214,1.9167,0.565,89.63,88.50
189,112,326.7983,102.6307,211.1802,246.2000,49.3773,46.7128,1.7500,0.656,90.87,89.86
212,124,362.7354,113.9167,233.6086,274.3054,49.5788,47.4134,1.9167,0.747,91.24,90.15
233,136,395.9888,124.3599,256.8016,298.2240,49.2680,47.2273,1.7500,0.838,91.32,90.27
254,148,429.0768,134.7512,275.0534,326.1426,49.8538,48.2651,1.7500,0.930,91.18,90.09
275,160,462.4685,145.2378,302.9001,346.2404,48.8219,47.0202,1.7500,1.023,93.14,92.11
298,172,498.3920,156.5196,325.3284,374.3458,49.0086,47.4390,1.9167,1.115,92.62,91.54
320,184,532.3822,167.1942,344.6293,402.5851,49.4342,48.1209,1.8333,1.208,92.77,91.68
341,196,567.1081,178.0998,372.3338,424.5272,48.7496,47.3514,1.7500,1.301,92.59,91.53
364,208,602.3682,189.1732,394.8258,451.6996,48.8452,47.5739,1.9167,1.391,90.30,89.19
386,220,636.9844,200.0444,414.0483,480.8502,49.2689,48.1832,1.8333,1.483,92.27,91.22
407,232,671.7382,210.9588,441.7789,502.7905,48.6977,47.5541,1.7500,1.576,92.78,91.69
428,244,705.4663,221.5511,462.9388,529.0943,48.8167,47.7640,1.7500,1.668,91.97,90.93
449,256,739.1421,232.1270,487.9150,551.9752,48.5275,47.4752,1.7500,1.761,92.89,91.84
471,268,772.4276,242.5802,511.4817,575.5654,48.3765,47.3498,1.8333,1.855,93.94,92.82
494,280,807.8806,253.7142,531.0919,605.5445,48.7491,48.3786,1.9167,1.950,95.12,93.96
515,292,841.7989,264.3662,555.5681,629.1869,48.5577,47.9811,1.7500,2.045,95.19,94.09
536,304,873.3081,274.2617,572.7721,656.0124,48.8764,48.0580,1.7500,2.142,97.06,95.99
557,316,908.9758,285.4631,601.2641,678.4526,48.4538,48.0626,1.7500,2.240,97.91,96.79
579,328,943.3386,296.2547,623.3334,704.8087,48.5123,47.5889,1.8333,2.336,95.71,94.55
599,340,975.5104,306.3582,647.0125,726.8090,48.3265,47.7972,1.6667,2.431,94.98,93.93
622,353,1011.8576,317.7730,667.0339,757.6279,48.6400,48.1154,1.7692,2.525,94.34,93.21
645,365,1048.8817,329.4004,693.1784,783.9354,48.5176,48.0626,1.9167,2.621,95.95,94.84
668,377,1084.7949,340.6789,715.6068,812.0408,48.6135,47.8021,1.9167,2.716,95.16,94.00
691,389,1121.5833,352.2323,742.6250,837.2584,48.4296,48.1544,1.9167,2.812,95.38,94.26
712,401,1155.3038,362.8222,763.7849,863.5621,48.5101,48.1320,1.7500,2.904,91.99,90.95
733,413,1187.4260,372.9101,785.7382,887.0286,48.4668,47.6806,1.7500,2.999,94.99,93.93
755,425,1223.1242,384.1211,810.3904,912.8802,48.4053,48.1076,1.8333,3.095,96.30,95.16
778,437,1257.9604,395.0614,831.4380,940.7738,48.5317,48.2437,1.9167,3.189,93.78,92.65
799,449,1291.6499,405.6415,856.4142,963.6548,48.3737,47.5028,1.7500,3.282,93.33,92.27
819,461,1323.8278,415.7470,880.0932,985.6550,48.2401,47.7688,1.6667,3.375,92.87,91.86
842,473,1359.5002,426.9499,899.2034,1016.3956,48.5022,48.1630,1.9167,3.467,92.21,91.06
863,485,1393.1912,437.5305,924.1795,1039.2766,48.3564,48.1630,1.7500,3.559,91.72,90.70
883,497,1425.3698,447.6362,947.8586,1061.2768,48.2327,48.0626,1.6667,3.650,91.49,90.51
904,509,1458.3682,457.9993,966.7334,1088.6546,48.3961,47.9576,1.7500,3.745,94.75,93.72
927,521,1496.2885,469.9081,992.2925,1116.6712,48.3766,48.1437,1.9167,3.838,93.22,92.05
949,533,1529.3632,480.2952,1017.7208,1138.3125,48.2030,47.3067,1.8333,3.931,93.02,91.93
970,545,1562.3546,490.6561,1036.2308,1166.0084,48.3739,48.2627,1.7500,4.027,95.12,94.04
990,557,1595.6305,501.1064,1058.8009,1190.4678,48.3515,48.1189,1.6667,4.120,93.86,92.82
1012,569,1629.9914,511.8974,1080.8702,1216.8239,48.3875,48.4784,1.8333,4.217,96.54,95.43
1035,581,1665.9016,523.1750,1107.1384,1241.5179,48.2760,47.7131,1.9167,4.314,97.27,96.09
1058,593,1702.0676,534.5329,1130.3952,1269.2355,48.3127,47.9837,1.9167,4.412,98.10,96.92
1081,605,1739.0567,546.1493,1155.1634,1296.7088,48.3053,47.7944,1.9167,4.509,96.75,95.57
1103,618,1773.6890,557.0255,1180.9393,1320.1229,48.1867,47.7688,1.6923,4.605,95.85,94.73
1126,631,1810.0162,568.4340,1200.9608,1350.9419,48.3647,48.1081,1.7692,4.701,95.71,94.57
1149,643,1847.0493,580.0643,1227.1053,1377.2494,48.3008,48.0019,1.9167,4.799,98.41,97.29
1172,655,1882.9549,591.3404,1249.5336,1405.3547,48.3601,48.2764,1.9167,4.898,99.22,98.01
1195,667,1919.7562,602.8978,1276.5518,1430.5724,48.2575,47.7364,1.9167,4.997,98.35,97.13
1216,679,1953.4712,613.4860,1297.7117,1456.8761,48.3081,48.1802,1.7500,5.092,95.54,94.46
1237,691,1985.5962,623.5748,1319.6650,1480.3425,48.2855,48.3762,1.7500,5.189,96.71,95.62
1259,703,2021.2981,634.7869,1344.3172,1506.1941,48.2515,47.7364,1.8333,5.286,97.39,96.30
1282,715,2056.1256,645.7245,1365.3648,1534.0878,48.3314,48.2791,1.9167,5.382,95.88,94.75
1303,727,2089.8253,656.3078,1390.3410,1556.9688,48.2370,48.2461,1.7500,5.478,96.02,94.91
1323,739,2122.0090,666.4151,1414.0200,1578.9690,48.1557,47.6275,1.6667,5.574,96.36,95.33
1346,751,2157.6671,677.6135,1433.1302,1609.7095,48.3222,48.1993,1.9167,5.670,95.37,94.24
