generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,31,123.7869,28.9365,-71.9286,-97.7372,-127.2922,NaN,1.9355,0.069,69.10,60.38
82,43,171.6850,40.1333,-108.6786,-129.5945,-130.6096,-139.0791,1.8333,0.136,66.67,65.55
103,55,217.1382,50.7584,-134.1071,-167.5759,-129.1799,-131.6792,1.7500,0.206,70.03,68.88
124,67,261.4149,61.1086,-171.6786,-193.6804,-131.9497,-136.1144,1.7500,0.282,75.96,74.85
146,79,307.5050,71.8827,-203.3214,-227.2080,-132.1586,-135.4222,1.8333,0.357,75.55,74.37
167,91,353.2184,82.5687,-230.1071,-264.5708,-131.3116,-133.4746,1.7500,0.433,75.34,74.23
188,103,397.3130,92.8763,-266.3214,-291.2938,-132.6904,-135.1235,1.7500,0.508,75.55,74.40
209,115,442.9734,103.5499,-293.1071,-328.6566,-131.9602,-133.7657,1.7500,0.584,75.43,74.30
230,127,487.1426,113.8749,-329.3214,-355.3797,-133.0261,-134.9722,1.7500,0.659,75.28,74.18
251,139,532.7659,124.5399,-356.1071,-392.7425,-132.3903,-133.9291,1.7500,0.734,75.37,74.29
272,151,576.9837,134.8762,-392.3214,-419.4656,-133.2573,-134.8808,1.7500,0.813,78.87,77.77
293,163,622.5799,145.5349,-419.1071,-456.8284,-132.6962,-134.0337,1.7500,0.891,77.91,76.77
314,175,667.8414,156.1152,-456.0714,-484.2319,-133.4328,-134.8251,1.7500,0.970,79.11,77.92
335,187,712.4071,166.5329,-482.1071,-520.9143,-132.9251,-134.1064,1.7500,1.047,77.33,76.23
355,199,755.6678,176.6456,-512.1071,-552.0912,-132.9808,-134.0921,1.6667,1.125,77.43,76.38
376,211,800.4385,187.1112,-549.6786,-578.1957,-133.6744,-134.8380,1.7500,1.203,77.66,76.54
397,223,845.5058,197.6462,-575.1071,-616.1771,-133.1433,-134.1442,1.7500,1.279,76.00,74.91
418,235,890.2964,208.1165,-612.6786,-642.2816,-133.7588,-134.7997,1.7500,1.354,74.98,73.89
439,247,935.3492,218.6481,-638.1071,-680.2630,-133.2747,-134.1847,1.7500,1.428,74.87,73.78
460,259,979.6634,229.0070,-674.3214,-706.9860,-133.7454,-134.6758,1.7500,1.503,74.64,73.57
481,271,1025.1967,239.6509,-701.1071,-744.3488,-133.3830,-133.9405,1.7500,1.578,74.75,73.66
