generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
150,42,163.6790,38.4690,149.1071,-73.1791,-26.8480,NaN,3.5714,0.121,120.56,72.68
171,54,208.3169,48.9601,194.9286,-80.4166,-22.9292,-8.9757,1.7500,0.195,74.20,73.06
193,66,253.3708,59.5489,239.1071,-91.3657,-21.3172,-11.4241,1.8333,0.269,74.36,73.19
212,78,294.3507,69.1803,275.3214,-111.1605,-22.3441,-16.7480,1.5833,0.341,72.35,71.25
232,90,337.2079,79.2529,317.3214,-121.5529,-21.2643,-16.0437,1.6667,0.416,74.03,72.80
253,102,376.8038,88.5590,360.8929,-117.3464,-18.2640,-11.7800,1.7500,0.490,73.99,72.84
272,114,422.8648,99.3846,402.0714,-139.3064,-19.3410,-14.6498,1.5833,0.563,73.47,72.41
294,126,469.6370,110.3773,446.3214,-154.4618,-19.2977,-15.2953,1.8333,0.634,70.54,69.34
313,138,510.3881,119.9549,489.0714,-155.1423,-17.7837,-13.5549,1.5833,0.705,71.81,70.78
333,150,553.8746,130.1754,530.9286,-167.0192,-17.6311,-13.8079,1.6667,0.776,70.60,69.42
355,162,600.1300,141.0466,576.0714,-177.6589,-17.2938,-13.7503,1.8333,0.848,71.78,70.62
375,174,643.6265,151.2695,617.9286,-189.5358,-17.1956,-13.9386,1.6667,0.919,70.80,69.74
397,186,689.0722,161.9504,662.1071,-200.4849,-16.9793,-13.9369,1.8333,0.989,70.29,69.15
416,198,729.5364,171.4606,698.3214,-220.2797,-17.6356,-14.9941,1.5833,1.059,70.33,69.32
436,210,772.7161,181.6090,740.3214,-230.6721,-17.4265,-14.9166,1.6667,1.130,70.65,69.60
457,222,813.2070,191.1254,783.8929,-226.4656,-16.2242,-13.5758,1.7500,1.203,73.00,71.92
476,234,858.9346,201.8727,825.0714,-248.4256,-16.8633,-14.5342,1.5833,1.277,73.93,72.84
499,246,903.0373,212.2380,870.8929,-248.9823,-16.0537,-13.6888,1.9167,1.350,73.60,72.41
518,258,948.7326,222.9776,912.0714,-270.9422,-16.6405,-14.5315,1.5833,1.424,73.96,72.94
541,270,992.8742,233.3521,957.8929,-271.4990,-15.9141,-13.7775,1.9167,1.499,74.47,73.28
560,282,1038.5424,244.0853,999.0714,-293.4589,-16.4562,-14.8385,1.5833,1.574,75.00,73.96
582,294,1085.2749,255.0687,1043.3214,-308.6143,-16.5618,-15.1169,1.8333,1.647,73.53,72.39
601,306,1126.5043,264.7587,1086.0714,-309.2948,-15.9752,-13.7330,1.5833,1.722,75.09,74.04
621,318,1170.0138,274.9846,1127.9286,-321.1717,-15.9702,-13.8343,1.6667,1.797,75.02,73.93
643,330,1216.3437,285.8734,1173.0714,-331.8114,-15.8670,-14.7920,1.8333,1.872,74.46,73.26
663,342,1259.8533,296.0993,1214.9286,-343.6884,-15.8661,-14.1137,1.6667,1.946,74.51,73.43
685,354,1305.3430,306.7906,1259.1071,-354.6374,-15.7982,-13.8356,1.8333,2.022,75.59,74.44
704,366,1345.6099,316.2544,1295.3214,-374.4323,-16.1894,-15.2157,1.5833,2.101,78.89,77.65
724,378,1388.8430,326.4153,1337.3214,-384.8246,-16.1181,-15.1148,1.6667,2.182,81.56,80.42
745,390,1429.6250,336.0002,1380.8929,-380.6182,-15.4713,-14.1537,1.7500,2.270,88.02,86.85
764,402,1475.2045,346.7126,1422.0714,-402.5781,-15.8667,-14.8385,1.5833,2.355,84.18,83.02
787,414,1519.4797,357.1185,1467.8929,-403.1348,-15.4145,-14.1168,1.9167,2.439,84.78,83.52
806,426,1565.0473,367.8281,1509.0714,-425.0948,-15.7888,-14.1777,1.5833,2.525,85.39,84.25
829,438,1609.3357,378.2370,1554.8929,-425.6515,-15.3640,-13.4613,1.9167,2.609,84.65,83.38
