generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,28,104.5527,29.6082,-5.1071,-103.4900,-94.4865,NaN,2.1429,0.065,65.40,56.83
82,40,150.1339,42.5164,3.8929,-149.3894,-89.6865,-78.9061,1.8333,0.124,58.34,57.25
101,52,188.7354,53.4479,24.6786,-186.7522,-83.4261,-70.3161,1.5833,0.185,61.66,60.71
121,64,231.9354,65.6817,35.3214,-228.9400,-82.0073,-72.1375,1.6667,0.251,65.15,64.15
144,76,277.0718,78.4639,47.9286,-272.6743,-80.6830,-72.5949,1.9167,0.319,67.95,66.86
163,88,285.6952,80.9059,89.3214,-271.6227,-72.4285,-60.6801,1.5833,0.388,69.50,68.50
184,100,319.6548,90.5229,132.0714,-291.7268,-66.1991,-53.9171,1.7500,0.460,71.61,70.54
205,112,342.0099,96.8536,176.3214,-294.1393,-59.5647,-46.4196,1.7500,0.532,72.38,71.31
226,124,381.9320,108.1592,219.0714,-314.2435,-55.5598,-43.2320,1.7500,0.604,71.61,70.56
247,136,410.4531,116.2361,263.3214,-316.6560,-50.6500,-38.4540,1.7500,0.674,70.50,69.46
268,148,453.5603,128.4436,306.0714,-336.7602,-48.0834,-36.8565,1.7500,0.745,70.70,69.67
289,160,485.9267,137.6094,350.3214,-339.1727,-44.3884,-33.5481,1.7500,0.814,69.08,68.04
310,172,530.7672,150.3077,393.0714,-359.2768,-42.7109,-32.7164,1.7500,0.883,69.42,68.37
330,184,569.0594,161.1517,435.0714,-369.6691,-40.6109,-31.1617,1.6667,0.952,69.09,68.10
352,196,611.4431,173.1543,480.0714,-381.7935,-38.7283,-29.8390,1.8333,1.021,68.41,67.35
373,208,647.9867,183.5031,524.3214,-384.2060,-36.4462,-27.9336,1.7500,1.088,67.60,66.60
394,220,694.3799,196.6412,567.0714,-404.3101,-35.6851,-27.7329,1.7500,1.157,68.27,67.28
415,232,732.1173,207.3280,611.3214,-406.7226,-33.8180,-26.1934,1.7500,1.224,67.56,66.56
436,244,777.9222,220.2995,653.9286,-425.3422,-33.2108,-26.0294,1.7500,1.292,67.57,66.58
457,256,817.4697,231.4989,698.3214,-429.2393,-31.7350,-24.8483,1.7500,1.361,69.00,67.99
478,268,863.5254,244.5414,740.9286,-447.8589,-31.2987,-22.0459,1.7500,1.429,67.87,66.83
499,280,903.6978,255.9178,785.3214,-451.7560,-30.0476,-19.2081,1.7500,1.497,68.08,67.05
518,292,947.0015,268.1810,824.3214,-470.8085,-29.8639,-17.0430,1.5833,1.565,68.28,67.34
540,304,992.4580,281.0538,870.0714,-482.2524,-29.1216,-14.3011,1.8333,1.634,69.34,68.24
561,316,1032.4712,292.3851,914.3214,-484.6649,-28.0435,-14.4793,1.7500,1.702,67.64,66.63
580,328,1075.8507,304.6697,953.3214,-503.7175,-27.9625,-14.4739,1.5833,1.770,67.97,67.05
600,340,1117.8697,316.5691,995.3214,-514.1098,-27.4236,-15.0339,1.6667,1.838,67.83,66.84
622,352,1163.4396,329.4740,1040.3214,-526.2342,-26.9329,-14.4739,1.8333,1.906,68.06,67.01
644,364,1209.0884,342.4013,1085.3214,-538.3585,-26.4793,-15.0941,1.8333,1.975,68.81,67.74
666,376,1255.1827,355.4547,1131.0714,-549.8024,-26.0157,-14.4793,1.8333,2.043,68.09,67.04
687,388,1296.1218,367.0482,1175.3214,-552.2149,-25.2535,-14.4793,1.7500,2.111,67.87,66.85
708,400,1343.3631,380.4265,1218.0714,-572.3191,-25.2512,-14.4793,1.7500,2.181,70.73,69.70
729,412,1384.5146,392.0801,1262.3214,-574.7316,-24.5603,-13.9221,1.7500,2.252,70.45,69.41
750,424,1431.7532,405.4576,1305.0714,-594.8357,-24.5809,-14.4793,1.7500,2.325,73.07,72.02
771,436,1473.0858,417.1626,1349.3214,-597.2482,-23.9503,-14.4793,1.7500,2.400,75.31,74.23
791,448,1518.9114,430.1399,1392.0714,-613.8883,-23.8693,-14.2536,1.6667,2.478,77.80,76.66
813,460,1561.8050,442.2869,1436.3214,-619.7649,-23.4096,-14.4793,1.8333,2.556,78.37,77.20
834,472,1608.3026,455.4546,1478.9286,-638.3844,-23.4152,-14.4793,1.7500,2.634,77.31,76.21
855,484,1650.6483,467.4464,1523.3214,-642.2816,-22.9270,-14.4793,1.7500,2.711,77.69,76.62
874,496,1693.9911,479.7207,1562.3214,-661.3341,-23.0067,-14.5685,1.5833,2.790,78.25,77.24
894,508,1736.1450,491.6582,1604.1071,-670.7367,-22.7533,-14.9731,1.6667,2.868,78.71,77.66
916,520,1782.9208,504.9046,1649.3214,-683.8508,-22.5800,-14.4793,1.8333,2.947,78.52,77.39
