generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
60,31,95.5630,30.1055,92.3387,-19.4426,-10.6118,NaN,1.9355,0.092,91.73,83.59
83,43,131.4746,41.4189,126.8732,-29.8229,-12.2868,-16.7295,1.9167,0.177,85.70,84.58
105,55,166.7280,52.5249,161.6659,-35.6937,-11.7137,-13.1926,1.8333,0.263,85.64,84.55
127,67,202.8806,63.9142,196.4924,-45.7072,-12.4860,-14.1533,1.8333,0.348,85.27,84.16
150,79,238.3277,75.0812,232.2818,-47.7153,-11.0970,-11.4217,1.9167,0.434,85.94,84.84
172,91,273.1551,86.0530,265.8347,-57.5023,-11.7569,-12.3730,1.8333,0.522,87.82,86.77
194,103,306.1779,96.4563,299.0751,-59.6845,-10.8892,-11.0151,1.8333,0.610,88.26,87.20
215,115,340.9806,107.4203,331.9413,-72.7298,-11.9986,-12.5384,1.7500,0.702,91.38,90.29
238,127,377.7704,119.0103,368.3238,-78.4884,-11.7057,-12.0761,1.9167,0.793,90.96,89.82
259,139,411.0601,129.4977,400.6344,-86.6148,-11.9012,-12.2916,1.7500,0.884,91.21,90.14
282,151,446.9624,140.8082,436.1886,-91.9857,-11.6350,-11.9132,1.9167,0.976,91.61,90.44
305,163,483.7726,152.4046,471.5368,-102.7753,-12.0423,-12.3943,1.9167,1.068,92.42,91.26
326,175,517.4809,163.0238,504.8964,-107.9485,-11.8318,-12.1081,1.7500,1.157,88.72,87.62
348,187,552.4836,174.0509,539.5175,-113.3830,-11.6473,-11.8638,1.8333,1.248,91.12,89.98
371,199,588.6515,185.4450,574.1043,-124.6727,-12.0439,-12.3214,1.9167,1.340,91.95,90.81
394,211,624.5474,196.7534,609.6584,-130.0435,-11.8451,-12.0679,1.9167,1.431,91.15,90.06
416,223,658.4754,207.4419,643.7648,-132.6389,-11.4570,-11.6005,1.8333,1.522,91.29,90.18
437,236,693.9899,218.6301,676.7955,-148.1835,-12.1731,-12.4224,1.6154,1.611,88.42,87.37
460,248,728.5353,229.5131,711.3975,-151.5531,-11.8584,-12.0465,1.9167,1.701,90.55,89.47
481,260,762.4530,240.1983,744.4581,-159.1560,-11.9070,-12.0925,1.7500,1.791,89.70,88.68
503,272,798.1850,251.4551,779.1985,-167.5815,-11.9842,-11.9246,1.8333,1.882,91.24,90.18
